총 샘플 수: 55
[epoch 1/3] 배치 반복 시작
  - batch 1: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0000.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=15
  - batch 2: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0001.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=23
  - batch 3: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0002.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=12
  - batch 4: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0003.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=21
  - batch 5: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0004.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=41
  - batch 6: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0005.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=44
  - batch 7: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0006.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=57
  - batch 8: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0007.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=92
  - batch 9: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0008.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=45
  - batch 10: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0009.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=42
  - batch 11: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0010.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=75
  - batch 12: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0011.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=78
  - batch 13: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0012.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=63
  - batch 14: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0013.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=40
  - batch 15: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0014.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=62
  - batch 16: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0015.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=70
  - batch 17: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0016.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=51
  - batch 18: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0017.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=33
  - batch 19: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0018.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=72
  - batch 20: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0019.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=70
  - batch 21: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0020.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=48
  - batch 22: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0021.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=50
  - batch 23: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0022.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=31
  - batch 24: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0023.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=40
  - batch 25: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0024.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=19
  - batch 26: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0025.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=43
  - batch 27: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0026.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=80
  - batch 28: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0027.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=59
